source,hash,etag,last_modified,last_checked,failed_attempts,domains,file_size,filename,last_updated,serial_counter
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/pro.plus.mini.txt,e2a11e7bb927e8a942214837a2a87cbce83b7f6adde064334303cb00ebb3e44f,"""a0a20e2cb6366b2eefd555c3bf14e6f4ea7a6385c91c78c67b68ca33cd494f03""",2026-08-01T09:03:39Z,2026-08-01T09:03:39Z,0,137640,3755.541015625,ads_hagezi_pro.plus.mini.rpz,2026-08-01T09:03:40Z,1130
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/doh.txt,,,,2026-08-01T11:14:21Z,12,0,0,malware_hagezi_domains_doh.rpz,1970-01-01T00:00:00Z,619
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/native.amazon.txt,,,,2026-08-01T11:14:21Z,12,0,0,malware_hagezi_native_amazon.rpz,1970-01-01T00:00:00Z,76
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/native.apple.txt,,,,2026-08-01T11:14:21Z,12,0,0,malware_hagezi_native_apple.rpz,1970-01-01T00:00:00Z,13
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/native.huawei.txt,,,,2026-08-01T11:14:22Z,12,0,0,malware_hagezi_native_huawei.rpz,1970-01-01T00:00:00Z,14
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/rpz/native.winoffice.txt,4ca549606a7a16455ee3531a6d94f419972df32e5fdd829a2db5bfa03322eb90,"""e479a49a3d1a344a8497797cd4c007ab7293ed10f09cfcea5a85a0096ac63fd2""",2026-08-01T09:04:37Z,2026-08-01T09:04:37Z,0,776,31.7099609375,tracking_hagezi_winoffice.rpz,2026-08-01T09:04:37Z,104
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/rpz/pro.mini.txt,4cb5be139e97d4fc1293690916692474381a0a139924ff9e57710aad1817ac83,"""24c793597d049f5fd6fa669ef09b01a1b494a0288984641fe8dc701b802b07e3""",2026-08-01T09:04:09Z,2026-08-01T09:04:09Z,0,114128,3128.8955078125,misc_hagezi_pro_mini.rpz,2026-08-01T09:04:11Z,1052
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/rpz/pro.txt,7665d0b2a4ca278f4b05b35e63717957ca8bbf9227b2a6b7d55c9779ca3f5838,"""fec9cf94b42488ab99fd52a3e5e7ca0e3c675652ba6e53104d7c717f6e2711b6""",2026-08-01T09:04:12Z,2026-08-01T09:04:11Z,0,432698,11814.8330078125,misc_hagezi_pro.rpz,2026-08-01T09:04:19Z,1108
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/rpz/ultimate.mini.txt,3fbb0db4b24909f3193877ced427c8b93752e2b3b3b3682d637dd9bd38c55414,"""cd78dce58dbc34653cbe4097f755800a30d5dc04d68ebd364faeaf20d381a8e7""",2026-08-01T09:04:20Z,2026-08-01T09:04:20Z,0,164484,4455.4619140625,misc_hagezi_ultimate_mini.rpz,2026-08-01T09:04:23Z,1114
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/rpz/ultimate.txt,f9b3783be1e96ea460fbd7322775e9f6980dadb49b988452d699ebaf3a6e31ad,"""21437b6cafcd0c9014de2214003f4f465bafdce3ab41c0d506f3882f684aeef1""",2026-08-01T09:04:24Z,2026-08-01T09:04:23Z,0,526614,14438.7470703125,misc_hagezi_ultimate.rpz,2026-08-01T09:04:33Z,1117
